property_id,status_id,style_id,type_id,property_mls_number,property_apn_number,property_tax_number,property_address,property_address2,property_city,property_county,property_state,property_state_abbrev,property_zip,property_country,property_township,property_long_desc,property_med_desc,property_short_desc,property_value,property_listing_date,property_exp_date,property_date_created,property_date_updated,property_total_campaign_cost
50068,2,0,0,5476329,NULL,NULL,"3930 Whispering Wind Drive",NULL,Glendale,,AZ,AZ,85310,"United States",NULL,"This home has just been remodel and it is the one for you! This beautiful 3 bedroom 2 bath home has big rooms and big bathrooms. The home has all brand new carpet and also fresh paint through the home! This is the one you have been waiting for!","This home has just been remodel and it is the one for you! This beautiful 3 bedroom 2 bath home has big rooms and big bathrooms. The home has all brand new carpet and also fresh paint through the home! This is the one you have been waiting for!",NULL,1150,2016-07-28,2016-09-04,"2019-01-15 17:39:03","0000-00-00 00:00:00",0
50069,2,0,0,5538632,NULL,NULL,"42424 N Gavilan Peak Pkwy",NULL,Anthem,,AZ,AZ,85086,"United States",NULL,"Great gated community in the nice Anthem community. Outdoor courtyard patio off master and entry. 1 bedroom down, 1 bath down and 1 bedroom, bath plus loft upstairs. 2 car garage, nice community pool and fitness center. Mountain views out of second bedroom. Well maintained community. Call or email to see.","Great gated community in the nice Anthem community. Outdoor courtyard patio off master and entry. 1 bedroom down, 1 bath down and 1 bedroom, bath plus loft upstairs. 2 car garage, nice community pool and fitness center. Mountain views out of second bedroom. Well maintained community. Call or email to see.",NULL,1150,2016-12-22,2017-01-14,"2019-01-15 17:39:03","0000-00-00 00:00:00",0
50000,2,0,0,5683717,NULL,NULL,"18228 N 54TH Lane",NULL,Glendale,,AZ,AZ,85308,"United States",NULL,"NEW CARPET INSTALLED FRESH DESIGNER PAINT THROUGH OUT !  Soaring ceilings in this rare single level with a beautiful saltwater pool,extra large lot. Charming 3 plus bedrooms ,2 full baths,walk closet with large extra room off the master bedroom with a private door leading out to large covered patio and sparkling pool. Open eat in kitchen over looking family room. Formal living and dining area for great family gatherings. large RV gate and side yard for all your extra toys .","NEW CARPET INSTALLED FRESH DESIGNER PAINT THROUGH OUT !  Soaring ceilings in this rare single level with a beautiful saltwater pool,extra large lot. Charming 3 plus bedrooms ,2 full baths,walk closet with large extra room off the master bedroom with a private door leading out to large covered patio and sparkling pool. Open eat in kitchen over looking family room. Formal living and dining area for great family gatherings. large RV gate and side yard for all your extra toys .",NULL,284900,2017-10-17,2018-02-23,"2019-01-15 16:22:34","0000-00-00 00:00:00",0
50001,2,0,0,5689708,NULL,NULL,"6031 W Evans Drive",NULL,Glendale,,AZ,AZ,85306,"United States",NULL,"Fully remodeled!You wont want to miss this one . Beautiful open kitchen with all new appliances . New wood like tile in all the right places . Open floor plan . New windows and sliding doors. Option to add a extra bedroom with a simple wall. Inside laundry room. Extra large garage! New paint inside and out ! Extra bonus room ! Beautiful open back yard with RV gate and large shed . This one is turn key .","Fully remodeled!You wont want to miss this one . Beautiful open kitchen with all new appliances . New wood like tile in all the right places . Open floor plan . New windows and sliding doors. Option to add a extra bedroom with a simple wall. Inside laundry room. Extra large garage! New paint inside and out ! Extra bonus room ! Beautiful open back yard with RV gate and large shed . This one is turn key .",NULL,199000,2017-11-08,2017-12-20,"2019-01-15 16:22:35","0000-00-00 00:00:00",0
50002,2,0,0,5699337,NULL,NULL,"23 W Loma Vista Drive Unit 102",NULL,Tempe,,AZ,AZ,85282,"United States",NULL,"LOCATION,LOCATION,LOCATION!  COMPLETELY REMODELED COZY 3 BEDROOM  2 BATH TOWN HOME-NEW RUSTIC WOOD LIKE TILE TROUGH-OUT,UPDATED KITCHEN WITH ALL NEW GRANITE,STAINLESS STEAL APPLIANCES,NEW DISPOSAL, NEW LIGHTING FIXTURES,NEW CEILING FANS,CLOSET DOORS , NEW BATHROOM VANITIES.NEWLY PAINTED WITH WARM COZY COLORS AND BEAUTIFUL FIREPLACE ACCENTED TO COMPLETE THE HOMEY FEEL THOUGHT OUT. INDOOR LAUNDRY CLOSET. COMMUNITY POOL AND CLOSE TO ALL SHOPPING . NEW HOME WARRANTY THIS DARLING HOME WILL NOT LAST !","LOCATION,LOCATION,LOCATION!  COMPLETELY REMODELED COZY 3 BEDROOM  2 BATH TOWN HOME-NEW RUSTIC WOOD LIKE TILE TROUGH-OUT,UPDATED KITCHEN WITH ALL NEW GRANITE,STAINLESS STEAL APPLIANCES,NEW DISPOSAL, NEW LIGHTING FIXTURES,NEW CEILING FANS,CLOSET DOORS , NEW BATHROOM VANITIES.NEWLY PAINTED WITH WARM COZY COLORS AND BEAUTIFUL FIREPLACE ACCENTED TO COMPLETE THE HOMEY FEEL THOUGHT OUT. INDOOR LAUNDRY CLOSET. COMMUNITY POOL AND CLOSE TO ALL SHOPPING . NEW HOME WARRANTY THIS DARLING HOME WILL NOT LAST !",NULL,209900,2017-12-11,2018-01-16,"2019-01-15 16:22:35","0000-00-00 00:00:00",0
50003,2,0,0,5224895,NULL,NULL,"35518 N Shorthorn Trail",NULL,"San Tan Valley",,AZ,AZ,85143,"United States",NULL,"Wonderful move in ready home in a great San Tan Valley location!FOUR BED,THREE BATH ! Warm inviting color palette, neutral carpet, tile flooring, and the great architectural design will make you feel right at home. Bright and airy kitchen features black appliances, granite counter tops, honey oak cabinets, pantry, and a center island w/breakfast bar. Each spacious bedroom has plush carpet and picture windows. Master bedroom includes an adjoining bath. Private Mother-In-Law suite in the front of the house. Serene Spring,Summer and Fall backyard has a covered patio that overlooks the grassy area, desert landscape and mature trees with beautiful colorful blooming plants .Extra storage selves in garage!Privacy all around as surrounded by single level homes. A must see !!!","Wonderful move in ready home in a great San Tan Valley location!FOUR BED,THREE BATH ! Warm inviting color palette, neutral carpet, tile flooring, and the great architectural design will make you feel right at home. Bright and airy kitchen features black appliances, granite counter tops, honey oak cabinets, pantry, and a center island w/breakfast bar. Each spacious bedroom has plush carpet and picture windows. Master bedroom includes an adjoining bath. Private Mother-In-Law suite in the front of the house. Serene Spring,Summer and Fall backyard has a covered patio that overlooks the grassy area, desert landscape and mature trees with beautiful colorful blooming plants .Extra storage selves in garage!Privacy all around as surrounded by single level homes. A must see !!!",NULL,174900,2015-01-21,2015-05-02,"2019-01-15 16:22:35","0000-00-00 00:00:00",0
50004,2,0,0,5195388,NULL,NULL,"3389 E Cowboy Cove Trail",NULL,"San Tan Valley",,AZ,AZ,85143,"United States",NULL,"IMMACULATE ! Must see this charming 3 bed, plus den San Tan Valley property with lots of amenities and upgrades you will absolutely love! This property features large beautiful tile throughout, beautiful kitchen with granite countertops, cherry cabinets, recessed lighting, breakfast bar, and stainless steel appliances, as well as a spacious master bedroom with walking closet and master bathroom with double sinks. The low maintenance backyard features a large covered patio and viewfence looking onto a greenbelt. Schedule a showing to see this lovely property today before it's gone!","IMMACULATE ! Must see this charming 3 bed, plus den San Tan Valley property with lots of amenities and upgrades you will absolutely love! This property features large beautiful tile throughout, beautiful kitchen with granite countertops, cherry cabinets, recessed lighting, breakfast bar, and stainless steel appliances, as well as a spacious master bedroom with walking closet and master bathroom with double sinks. The low maintenance backyard features a large covered patio and viewfence looking onto a greenbelt. Schedule a showing to see this lovely property today before it's gone!",NULL,144900,2014-11-05,2014-12-19,"2019-01-15 16:22:35","0000-00-00 00:00:00",0
50005,2,0,0,5158159,NULL,NULL,"16567 W Adams Street",NULL,Goodyear,,AZ,AZ,85338,"United States",NULL,"IMMACULATE!Your happily ever after awaits in this beautiful Goodyear home! Inside this lovely home you will find vaulted ceilings, NEW warm neutral color palette ready for your personal touches,niches,BRAND NEW carpet, wood laminate & tile flooring in all the right places, and picture windows that allow for lots of natural light. Open kitchen/family room concept.Newer  appliances, a plethora of light oak cabinets, plenty of counter space, center island w/breakfast bar and a pantry. Spacious bedrooms have ceiling fans & picture windows. Master bedroom includes a walk in closet and relaxing spa like bath. Serene backyard invites you to sit under the covered patio and enjoy the colorful desert landscape and warm Arizona sun. Don't miss the opportunity to make this house your home .","IMMACULATE!Your happily ever after awaits in this beautiful Goodyear home! Inside this lovely home you will find vaulted ceilings, NEW warm neutral color palette ready for your personal touches,niches,BRAND NEW carpet, wood laminate & tile flooring in all the right places, and picture windows that allow for lots of natural light. Open kitchen/family room concept.Newer  appliances, a plethora of light oak cabinets, plenty of counter space, center island w/breakfast bar and a pantry. Spacious bedrooms have ceiling fans & picture windows. Master bedroom includes a walk in closet and relaxing spa like bath. Serene backyard invites you to sit under the covered patio and enjoy the colorful desert landscape and warm Arizona sun. Don't miss the opportunity to make this house your home .",NULL,210000,2014-08-13,2014-12-17,"2019-01-15 16:22:36","0000-00-00 00:00:00",0
50006,2,0,0,5003639,NULL,NULL,"3652 S 186TH Lane",NULL,Goodyear,,AZ,AZ,85338,"United States",NULL,"HOME LIGHTLY LIVED IN. BEAUTIFUL CHERRY CABINETS!GRANITE COUNTER TOPS! TILE IN ALL THE MAIN AREAS ! GAS RANGE ! LARGE OPEN GREAT ROOM WITH EAT IN KITCHEN .THREE BED ,TWO BATH+DEN !  EXTRA LARGE OPEN LOT WITH BLANK CANVAS FOR YOUR OWN PERSONAL TOUCH !PRICED TO SELL !","HOME LIGHTLY LIVED IN. BEAUTIFUL CHERRY CABINETS!GRANITE COUNTER TOPS! TILE IN ALL THE MAIN AREAS ! GAS RANGE ! LARGE OPEN GREAT ROOM WITH EAT IN KITCHEN .THREE BED ,TWO BATH+DEN !  EXTRA LARGE OPEN LOT WITH BLANK CANVAS FOR YOUR OWN PERSONAL TOUCH !PRICED TO SELL !",NULL,149900,2013-09-24,2014-12-18,"2019-01-15 16:22:36","0000-00-00 00:00:00",0
50007,2,0,0,5782758,NULL,NULL,"7408 S 24th Ln",NULL,Phoenix,,AZ,AZ,85041,"United States",NULL,"Location Location! Beautiful South Phoenix home conveniently located 15 minutes from downtown Phoenix and Sky Harbor Airport. This home is close to hiking trails and plenty of shopping.  You will be welcomed with an open, split floor plan with 3 spacious bedrooms plus a separate office nook! Neutral paint tones and upgraded tile flooring makes for easy personal design. Cook like a pro in the beautiful kitchen with granite counters,a center island with a breakfast bar and separate dining area.  Master includes a walk in closet and an adjoining spa like bath with garden tub and separate shower. Relax under the covered patio with a beautiful paver extension that is perfect for entertaining and overlooks the serene backyard with lush green grass and low water use flowering desert plan Large storage shed in the backyard and a private community park down the street.  A must see!","Location Location! Beautiful South Phoenix home conveniently located 15 minutes from downtown Phoenix and Sky Harbor Airport. This home is close to hiking trails and plenty of shopping.  You will be welcomed with an open, split floor plan with 3 spacious bedrooms plus a separate office nook! Neutral paint tones and upgraded tile flooring makes for easy personal design. Cook like a pro in the beautiful kitchen with granite counters,a center island with a breakfast bar and separate dining area.  Master includes a walk in closet and an adjoining spa like bath with garden tub and separate shower. Relax under the covered patio with a beautiful paver extension that is perfect for entertaining and overlooks the serene backyard with lush green grass and low water use flowering desert plan Large storage shed in the backyard and a private community park down the street.  A must see!",NULL,234900,2018-06-15,2018-07-19,"2019-01-15 16:22:36","0000-00-00 00:00:00",0
